Hour,Min,Max freq,Max,RMS,std,Condition,Runtime
0,1,124,4,1,1,S,0
0,2,500,5,1,1,S,0
0,3,8,72,2,2,L,0
0,4,17,72,2,2,L,0
0,5,25,59,2,2,L,0
0,6,34,71,2,2,L,0
0,7,42,59,2,2,L,0
0,8,50,72,2,2,R,1
0,8,50,71,2,2,R,1
0,9,50,73,2,2,R,2
0,10,50,73,2,2,R,3
0,11,50,70,2,2,R,4
0,12,50,72,2,2,R,5
0,13,50,69,2,2,R,6
0,14,50,71,2,2,R,7
0,15,50,69,2,2,R,8
0,16,50,69,2,2,R,9
0,17,50,66,2,2,R,10
0,18,50,70,2,2,R,11
0,19,50,70,2,2,R,12
0,20,50,73,2,2,R,13
0,21,50,69,2,2,R,14
0,22,50,70,2,2,R,15
0,23,50,72,2,2,R,16
0,24,50,69,2,2,R,17
0,25,50,71,2,2,R,18
0,26,50,69,2,2,R,19
0,27,50,71,2,2,R,20
0,28,50,69,2,2,R,21
0,29,50,67,2,2,R,22
0,30,50,69,2,2,R,23
0,31,248,4,1,1,S,23
0,32,649,4,1,1,S,23
0,33,403,3,1,1,S,23
0,34,119,4,1,1,S,23
0,35,50,67,2,2,R,24
0,36,50,71,2,2,R,25
0,37,50,73,2,2,R,26
0,38,50,68,2,2,R,27
0,39,50,71,3,2,R,28
0,40,50,70,2,2,R,29
0,41,50,70,2,2,R,30
0,42,50,71,2,2,R,31
0,43,50,67,2,2,R,32
0,44,50,68,2,2,R,33
0,45,50,69,2,2,R,34
0,46,50,71,2,2,R,35
0,47,50,70,2,2,R,36
0,48,50,70,2,2,R,37
0,49,50,72,2,2,R,38
0,50,50,67,2,2,R,39
0,51,50,69,2,2,R,40
0,52,50,69,2,2,R,41
0,53,50,73,3,2,R,42
0,54,25,60,2,2,L,42
0,55,345,4,1,1,S,42
0,56,55,4,1,1,S,42
0,57,66,4,1,1,S,42
0,58,87,4,1,1,S,42
0,59,250,4,1,1,S,42
1,0,16,4,1,1,S,42
1,1,50,70,2,2,R,43
1,2,50,71,2,2,R,44
1,3,50,72,2,2,R,45
1,4,50,71,2,2,R,46
1,5,50,68,2,2,R,47
1,6,50,74,2,2,R,48
1,7,50,73,2,2,R,49
1,8,50,70,2,2,R,50
1,9,50,71,2,2,R,51
1,10,50,68,2,2,R,52
1,11,8,69,2,2,L,52
1,12,236,3,1,1,S,52
1,13,1291,4,1,1,S,52
1,14,11,4,1,1,S,52
1,15,446,4,1,1,S,52
1,16,34,70,2,2,L,52
1,17,50,69,2,2,R,53
1,18,50,70,2,2,R,54
1,19,50,71,2,2,R,55
