Hour,Min,Max freq,Max,RMS,std,Condition,Runtime
0,8,24,61,2,2,H,1
0,8,24,64,2,2,H,1
0,9,24,63,2,2,H,2
0,10,24,62,2,2,H,3
0,11,24,63,2,2,H,4
0,12,24,69,2,2,H,5
0,13,24,64,2,2,H,6
0,14,24,65,2,2,H,7
0,15,24,66,2,2,H,8
0,16,24,63,2,2,H,9
0,17,24,68,2,2,H,10
0,18,24,64,2,2,H,11
0,19,24,65,2,2,H,12
0,20,24,71,2,2,H,13
0,21,24,66,2,2,H,14
0,22,24,66,2,2,H,15
0,23,24,65,2,2,H,16
0,24,24,69,2,2,H,17
0,25,24,70,2,2,H,18
0,26,24,67,2,2,H,19
0,27,24,65,2,2,H,20
0,28,24,67,2,2,H,21
0,29,24,69,2,2,H,22
0,30,24,68,2,2,H,23
0,35,24,65,2,2,H,24
0,36,24,66,2,2,H,25
0,37,24,56,2,2,H,26
0,38,24,66,2,2,H,27
0,39,24,63,2,2,H,28
0,40,24,62,2,2,H,29
0,41,24,63,2,2,H,30
0,42,24,58,2,2,H,31
0,43,24,63,2,2,H,32
0,44,24,58,2,2,H,33
0,45,24,61,2,2,H,34
0,46,24,61,2,2,H,35
0,47,24,64,2,2,H,36
0,48,24,57,2,2,H,37
0,49,24,61,2,2,H,38
0,50,24,57,2,2,H,39
0,51,24,61,2,2,H,40
0,52,24,60,2,2,H,41
0,53,24,61,2,2,H,42
1,1,24,83,3,3,U,43
1,2,24,78,3,2,U,44
1,3,24,84,3,3,U,45
1,4,24,81,3,3,U,46
1,5,24,84,3,3,U,47
1,6,24,79,3,2,U,48
1,7,24,80,3,3,U,49
1,8,24,82,3,3,U,50
1,9,24,79,3,2,U,51
1,10,24,82,3,2,U,52
1,17,24,76,3,2,H,53
1,18,24,78,3,2,U,54
1,19,24,82,3,3,U,55
1,20,24,79,3,3,U,56
1,31,24,215,6,5,U,57
1,32,24,208,5,5,U,58
1,33,24,198,5,5,U,59
1,34,24,195,5,5,U,60
1,35,24,194,5,5,U,61
1,36,24,181,5,4,U,62
1,37,24,188,5,5,U,63
1,38,24,184,5,4,U,64
1,39,24,184,5,4,U,65
1,40,24,181,4,4,U,66
1,40,24,177,4,4,H,66
1,41,24,177,4,4,H,67
1,42,24,176,4,4,H,68
1,43,24,173,4,4,H,69
1,44,24,175,4,4,H,70
1,45,24,170,4,4,H,71
1,46,24,179,4,4,H,72
1,47,24,172,4,4,H,73
1,48,24,173,4,4,H,74
1,49,24,167,4,4,H,75
1,50,24,171,4,4,H,76
1,56,24,186,5,4,H,77
1,57,24,190,5,5,H,78
1,58,24,196,5,5,H,79
1,59,24,188,5,4,H,80
2,0,24,185,5,4,H,81
2,16,100,21,2,1,B,82
2,17,48,19,2,1,B,83
2,18,100,21,2,1,B,84
2,19,100,20,2,1,B,85
2,20,100,32,2,1,B,86
2,21,100,27,2,1,B,87
2,22,100,30,2,1,B,88
2,23,100,35,2,1,B,89
2,24,100,27,2,1,B,90
2,25,100,33,2,1,B,91
2,26,24,88,3,3,B,92
2,27,24,100,3,3,U,93
2,28,24,107,3,3,U,94
2,29,24,110,3,3,U,95
2,30,24,116,3,3,U,96
2,31,24,116,3,3,U,97
2,32,24,108,3,3,U,98
2,33,24,148,4,4,H,99
2,34,24,143,4,4,H,100
2,35,24,142,4,4,H,101
2,36,24,135,4,4,U,102
2,37,24,134,4,4,U,103
2,38,24,147,4,4,H,104
2,39,24,143,4,4,H,105
2,40,24,139,4,4,U,106
2,51,24,84,2,2,B,107
2,52,24,80,2,2,B,108
2,53,24,81,2,2,B,109
2,54,24,78,2,2,B,110
2,55,24,78,2,2,B,111
2,55,24,81,2,2,H,111
2,56,24,74,2,2,H,112
2,57,24,74,2,2,H,113
2,58,24,76,2,2,H,114
2,59,24,77,2,2,H,115
3,0,24,72,2,2,H,116
3,1,100,18,2,1,B,117
3,2,24,17,2,1,B,118
3,3,24,22,2,2,B,119
3,4,100,26,2,2,B,120
3,5,24,24,2,2,B,121
3,6,24,31,2,2,B,122
3,7,24,33,2,2,B,123
3,8,24,28,2,2,B,124
3,9,24,40,2,2,B,125
3,10,24,36,2,2,B,126
3,11,24,59,3,2,U,127
3,12,24,54,3,2,U,128
3,13,24,59,3,2,U,129
3,14,24,52,2,2,U,130
3,15,24,65,3,2,H,131
3,16,24,61,3,2,U,132
3,17,24,65,3,2,H,133
3,18,24,60,3,2,U,134
3,19,24,57,3,2,U,135
3,20,24,60,2,2,U,136
3,26,24,95,3,2,H,137
3,27,24,94,3,2,H,138
3,28,24,92,3,2,H,139
3,29,24,88,3,2,H,140
3,30,24,85,2,2,H,141
3,30,24,98,3,3,H,141
3,31,24,79,2,2,H,142
3,32,24,77,2,2,U,143
3,33,24,78,2,2,U,144
3,34,24,79,2,2,H,145
3,35,24,83,2,2,H,146
3,36,24,75,2,2,U,147
3,37,24,78,2,2,U,148
3,38,24,75,2,2,U,149
3,39,24,79,2,2,H,150
3,40,24,79,2,2,H,151
3,40,24,77,2,2,H,151
3,41,24,81,2,2,H,152
3,42,24,80,2,2,H,153
3,43,24,76,2,2,H,154
3,44,24,78,2,2,H,155
3,45,24,82,2,2,H,156
3,46,24,77,2,2,H,157
3,47,24,81,2,2,H,158
3,48,24,75,2,2,H,159
3,49,24,78,2,2,H,160
3,50,24,78,2,2,H,161
