Hour,Min,Max,RMS,std,Condition,Runtime
0,8,4175,151,151,H,1
0,8,4302,149,149,H,1
0,9,4229,152,152,H,2
0,10,4273,147,147,H,3
0,11,3973,147,147,H,4
0,12,4215,157,157,H,5
0,13,4191,145,145,H,6
0,14,4211,159,159,H,7
0,15,4257,153,153,H,8
0,16,4030,152,152,H,9
0,17,4273,154,154,H,10
0,18,4294,149,149,H,11
0,19,4264,151,151,H,12
0,20,3962,158,158,H,13
0,21,4326,155,155,H,14
0,22,4309,154,154,H,15
0,23,4086,152,152,H,16
0,24,4188,154,154,H,17
0,25,4334,158,158,H,18
0,26,3983,159,159,H,19
0,27,4303,157,157,H,20
0,28,4275,157,157,H,21
0,29,4172,157,157,H,22
0,30,4106,150,150,H,23
0,35,4115,151,151,H,24
0,36,4258,154,154,H,25
0,37,4234,143,143,H,26
0,38,3880,149,149,H,27
0,39,4301,147,147,H,28
0,40,4084,152,152,H,29
0,41,4107,152,152,H,30
0,42,4251,149,149,H,31
0,43,4010,150,150,H,32
0,44,4254,146,146,H,33
0,45,5812,160,160,H,34
0,46,4187,147,147,H,35
0,47,4069,145,145,H,36
0,48,4040,147,147,H,37
0,49,4204,152,152,H,38
0,50,4349,150,150,H,39
0,51,4319,149,149,H,40
0,52,4214,147,147,H,41
0,53,3974,152,152,H,42
1,1,4286,203,203,U,43
1,2,4268,197,197,U,44
1,3,4318,197,197,U,45
1,4,4318,197,197,U,46
1,5,4292,198,198,U,47
1,6,4320,195,195,U,48
1,7,4131,200,200,U,49
1,8,4197,204,204,U,50
1,9,4219,184,184,U,51
1,10,4151,193,193,U,52
1,17,4363,201,201,U,53
1,18,4026,192,192,U,54
1,19,4185,212,212,U,55
1,20,4309,209,209,U,56
1,31,4225,367,367,U,57
1,32,4313,362,362,U,58
1,33,4292,337,337,U,59
1,34,4087,328,328,U,60
1,35,3996,319,319,U,61
1,36,4095,306,306,U,62
1,37,4218,309,309,U,63
1,38,4322,308,308,U,64
1,39,4177,303,303,U,65
1,40,4068,300,300,U,66
1,40,4161,294,294,H,66
1,41,4099,293,293,H,67
1,42,4134,289,289,H,68
1,43,4126,287,287,H,69
1,44,4225,292,292,H,70
1,45,4271,289,289,H,71
1,46,4311,296,296,H,72
1,47,4286,285,285,H,73
1,48,4087,286,286,H,74
1,49,4050,279,279,H,75
1,50,4077,282,282,H,76
1,56,4863,308,308,H,77
1,57,4121,308,308,H,78
1,58,4130,316,316,H,79
1,59,4031,305,305,H,80
2,0,4153,302,302,H,81
2,16,4110,124,124,U,82
2,17,4094,117,117,U,83
2,18,4290,126,126,U,84
2,19,4344,124,124,U,85
2,20,4199,129,129,U,86
2,21,3957,132,132,U,87
2,22,4064,131,131,U,88
2,23,4190,133,133,U,89
2,24,4225,127,127,U,90
2,25,4219,134,134,U,91
2,26,4224,233,233,U,92
2,27,4287,229,229,U,93
2,28,4300,224,224,U,94
2,29,4275,236,236,H,95
2,30,4562,242,242,H,96
2,31,4180,238,238,H,97
2,32,4348,242,242,H,98
2,33,4311,280,280,H,99
2,34,4368,276,276,H,100
2,35,4289,275,275,H,101
2,36,4104,278,278,H,102
2,37,4096,265,265,H,103
2,38,3968,287,287,H,104
2,39,4009,277,277,H,105
2,40,3993,278,278,H,106
2,51,4089,173,173,U,107
2,52,4341,168,168,U,108
2,53,4294,169,169,U,109
2,54,4176,170,170,U,110
2,55,3980,163,163,U,111
2,55,3731,163,163,H,111
2,56,4163,164,164,H,112
2,57,4213,166,166,H,113
2,58,4048,170,170,H,114
2,59,4293,167,167,H,115
3,0,4090,162,162,H,116
3,1,4232,131,131,H,117
3,2,4286,128,128,U,118
3,3,4016,138,138,H,119
3,4,4283,136,136,H,120
3,5,4148,145,145,H,121
3,6,4168,147,147,H,122
3,7,4472,152,152,H,123
3,8,4133,151,151,H,124
3,9,4146,157,157,H,125
3,10,4368,156,156,H,126
3,11,4182,191,191,H,127
3,12,4071,183,183,H,128
3,13,4289,182,182,H,129
3,14,4204,183,183,H,130
3,15,4214,188,188,H,131
3,16,4057,194,194,H,132
3,17,4241,185,185,H,133
3,18,4285,184,184,H,134
3,19,4065,187,187,H,135
3,20,4176,181,181,H,136
3,26,4295,183,183,H,137
3,27,4045,185,185,H,138
3,28,4326,183,183,H,139
3,29,4065,176,176,H,140
3,30,4291,172,172,H,141
3,30,4225,185,185,H,141
3,31,4235,169,169,H,142
3,32,4109,161,161,H,143
3,33,4297,167,167,H,144
3,34,3945,167,167,H,145
3,35,4206,169,169,H,146
3,36,4209,164,164,H,147
3,37,4082,163,163,H,148
3,38,4291,165,165,H,149
3,39,4082,167,167,H,150
3,40,4285,168,168,H,151
3,40,4304,162,162,H,151
3,41,4150,163,163,H,152
3,42,4186,171,171,H,153
3,43,4205,168,168,H,154
3,44,4208,166,166,H,155
3,45,4180,169,169,H,156
3,46,4132,166,166,H,157
3,47,3853,163,163,H,158
3,48,2747,159,159,H,159
3,49,3992,163,163,H,160
3,50,4267,167,167,H,161
